TEXT,NUM_VIDEOS,VIDEOS,FRAME_COUNTS
ban giám hiệu,1,W00087.mp4,147
ban ngày,1,W00089.mp4,93
ban đêm,3,W00086B.mp4; W00086N.mp4; W00086T.mp4,138; 149; 149
bao giờ?,3,W00145B.mp4; W00145T.mp4; W00145N.mp4,117; 117; 148
bao la,1,W00146.mp4,197
bao nhiêu?,1,W00147.mp4,134
bao tay (dùng cho trẻ sơ sinh),1,W00150.mp4,144
bay,1,W00174.mp4,136
bay liệng (bay lượn),1,W00176.mp4,151
bay nhanh (máy bay),1,D0177.mp4,102
biến đổi,1,W00262N.mp4,155
biển hiệu,1,W00261.mp4,153
biển đông,1,W00260.mp4,125
biểu thị,1,W00270.mp4,141
biểu thức,1,W00271.mp4,119
biểu đồ,1,W00265.mp4,162
biểu đồ cột,1,W00266.mp4,141
biểu đồ hình quạt,1,W00267.mp4,141
biện pháp,1,W00263.mp4,162
bom nguyên tử,1,W00303.mp4,158
bom đạn,1,W00302.mp4,152
boong tàu,1,W00312.mp4,159
buôn làng,1,W00371.mp4,150
buông màn,3,W00374B.mp4; W00374N.mp4; W00374T.mp4,135; 132; 152
buồn nôn,1,W00372.mp4,178
buồn thảm,1,D0064.mp4,156
buồng trứng,1,W00377.mp4,138
buổi chiều,1,W00366.mp4,139
buổi sáng,3,W00368B.mp4; W00368T.mp4; W00368N.mp4,130; 153; 153
buổi trưa,3,W00370B.mp4; W00370N.mp4; W00370T.mp4,124; 151; 130
buổi tối,3,W00369N.mp4; W00369B.mp4; W00369T.mp4,142; 121; 142
buổi đêm,3,W00367B.mp4; W00367T.mp4; W00367N.mp4,116; 86; 86
buộc dây,1,W00363.mp4,162
buộc tóc,1,W00364.mp4,222
bài báo,1,W00071.mp4,117
bài thơ,3,W00075T.mp4; W00075B.mp4; W00075N.mp4,129; 177; 129
bàn bạc,1,W00091.mp4,158
bàn chân,1,W00093.mp4,176
bàn chải đánh răng,1,W00092.mp4,124
bàn ghế,1,W00094.mp4,190
bàn là,1,W00095.mp4,155
bàn phím (máy vi tính),1,W00096.mp4,167
bàn tay,1,W00097.mp4,184
bàn tán,1,W00098.mp4,246
bán buôn,1,W00105.mp4,189
bán hàng,3,W00107N.mp4; W00107B.mp4; W00107T.mp4,117; 117; 117
bán kính (hình tròn),1,W00108.mp4,176
bán đảo,1,W00106.mp4,193
bánh Trung Thu,1,W00130.mp4,117
bánh bột lọc,1,W00127.mp4,135
bánh canh,1,D0393.mp4,118
bánh cuốn,3,W00129N.mp4; W00129B.mp4; W00129T.mp4,143; 159; 143
bánh cốm,1,W00128.mp4,141
bánh gai,1,W00133.mp4,119
bánh giò,1,W00135.mp4,143
bánh giầy,1,W00134.mp4,162
bánh gối,1,W00136.mp4,273
bánh hamburger,1,D0391.mp4,127
bánh mì,3,W00137N.mp4; W00137B.mp4; W00137T.mp4,149; 143; 149
bánh pizza,1,W00140.mp4,154
bánh pía,1,W00141.mp4,161
bánh sandwich,1,D0392.mp4,92
bánh tráng,1,D0110.mp4,159
bánh xe,1,W00144.mp4,486
bánh đa,1,W00131.mp4,205
bánh đúc,1,W00132.mp4,144
báo (con báo),3,W00160N.mp4; W00160B.mp4; W00160T.mp4,138; 118; 138
báo cáo,1,W00161.mp4,117
báo thù,1,W00166.mp4,122
báo động,1,W00163.mp4,127
bát,1,W00170.mp4,150
bát hương,1,W00171.mp4,127
bát ngát,1,W00172.mp4,150
bãi cát,1,W00081.mp4,138
bãi cỏ,1,W00082.mp4,148
bãi tắm,1,W00084.mp4,130
bãi đỗ xe (ô tô),1,W00083.mp4,182
bé gái,1,W00217.mp4,153
bé hơn,1,W00218.mp4,133
bé loắt choắt,1,W00219.mp4,122
bé trai,3,W00220B.mp4; W00220N.mp4; W00220T.mp4,135; 117; 135
béo,1,W00225.mp4,142
bê tông,1,W00228.mp4,162
bên cạnh,2,W00236.mp4; W00236N.mp4,170; 162
bên dưới,1,W00237.mp4,151
bên phải,1,W00238.mp4,137
bên trong,1,W00241.mp4,167
bên trái,1,W00239.mp4,167
bên trên,1,W00240.mp4,167
bênh vực,1,W00246.mp4,139
bìa sách,1,W00254.mp4,161
bìa vở,3,W00255B.mp4; W00255N.mp4; W00255T.mp4,137; 149; 193
bình an,3,W00274N.mp4; W00274B.mp4; W00274T.mp4,141; 156; 156
bình minh,1,W00279.mp4,159
bình phương,1,W00282.mp4,137
bình sữa (em bé),1,D0461.mp4,152
bình thường,3,W00286N.mp4; W00286B.mp4; W00286T.mp4,118; 106; 118
bí ngô,1,W00252.mp4,131
bím tóc đuôi sam,1,W00273.mp4,142
bít tất,1,W00287.mp4,139
bít tết (bò),3,D0077N.mp4; D0077T.mp4; D0077B.mp4,125; 125; 118
bò,1,W00288.mp4,129
bò sát,1,W00289.mp4,161
bò tót,1,W00290.mp4,142
bó hoa,1,W00298.mp4,145
bó đũa,1,W00297.mp4,154
bóc lột,1,W00299.mp4,138
bóc vỏ,1,W00300.mp4,143
bón phân,3,W00304N.mp4; W00304B.mp4; W00304T.mp4,144; 91; 144
bóng bay,1,W00308.mp4,159
bông hoa,3,W00336T.mp4; W00336B.mp4; W00336N.mp4,114; 152; 114
bùn,1,W00361.mp4,160
bùng binh,1,W03371.mp4,95
bún chả,1,D0084.mp4,138
bún mắm,1,D0083.mp4,149
bún ngan,1,D0085.mp4,120
bún đậu,1,D0087B.mp4,119
bún ốc,1,D0086.mp4,134
búp bê,1,W00378.mp4,98
bút,1,W00380.mp4,143
bút bi,1,W00381.mp4,288
bút dạ,1,W00382.mp4,156
bút màu,3,W00383N.mp4; W00383B.mp4; W00383T.mp4,144; 147; 162
bút máy,1,W00384.mp4,154
băng bó,1,W00188.mp4,138
băng chuyền,1,W00189.mp4,173
băng dính,1,W00190.mp4,142
băng giá,1,W00191.mp4,152
băng hình,1,W00192.mp4,130
bơi,1,W00347.mp4,197
bơi lội,1,W00348.mp4,185
bơm (cái bơm),1,W00349.mp4,128
bơm nước,1,W00350.mp4,119
bơm xe,1,W00351.mp4,114
bưu tá,1,W00393.mp4,154
bước,1,W00388.mp4,146
bước chân,1,W00389.mp4,147
bướng bỉnh,2,W00390N.mp4; W00390T.mp4,154; 154
bạn,3,W00110N.mp4; W00110T.mp4; W00110B.mp4,100; 100; 263
bạn gái,3,W00111B.mp4; W00111T.mp4; W00111N.mp4,170; 175; 175
bạn trai,3,W00112B.mp4; W00112N.mp4; W00112T.mp4,133; 153; 155
bạn yêu bạn ấy,1,D0141.mp4,79
bạn yêu tôi,1,D0138.mp4,112
bạn ấy yêu bạn,1,D0142.mp4,77
bạn ấy yêu tôi,1,D0140.mp4,142
bản làng,1,W00100.mp4,180
bản lề,1,W00101.mp4,152
bản nhạc,1,W00102.mp4,209
bản sao (chỉ người),1,W00103.mp4,119
bản thân,1,W00104.mp4,175
bản đồ Việt Nam,3,W00099B.mp4; W00099T.mp4; W00099N.mp4,156; 127; 127
bảng chia,2,W00115N.mp4; W00115T.mp4,128; 128
bảng chỉ dẫn,1,W00116.mp4,137
bảng chữ cái ngón tay,1,W00118.mp4,137
bảng cộng,3,W00119N.mp4; W00119B.mp4; W00119T.mp4,118; 172; 172
bảng cửu chương,1,W00120.mp4,92
bảng học sinh,1,W00113.mp4,92
bảng màu,1,W00123B.mp4,167
bảng nhân,3,W00124N.mp4; W00124B.mp4; W00124T.mp4,128; 157; 157
bảng trừ,3,W00126T.mp4; W00126B.mp4; W00126N.mp4,136; 136; 125
bảng đen,3,W00121B.mp4; W00121T.mp4; W00121N.mp4,155; 155; 147
bảo hiểm,1,W00153.mp4,236
bảo thủ,1,W00157.mp4,162
bảo tàng,1,W00156.mp4,159
bảo vệ môi trường,3,W00159N.mp4; W00159B.mp4; W00159T.mp4,165; 153; 165
bảo đảm,1,W00152.mp4,148
bất hiếu,1,W00207.mp4,123
bất khuất,1,D0241.mp4,158
bất động,1,W00206.mp4,129
bầu trời,1,W00212.mp4,156
bẫy chim,1,W00213.mp4,194
bẫy chuột (dụng cụ),1,W00215.mp4,145
bẫy chuột (hành động),3,W00214B.mp4; W00214N.mp4; W00214T.mp4,78; 130; 130
bậc thang,1,W00203.mp4,261
bập bênh,1,W00205.mp4,157
bật lửa,1,W00210.mp4,167
bật đèn,1,W00209.mp4,151
bắc bán cầu,1,W00179.mp4,104
bắc nam,2,W00184T.mp4; W00184N.mp4,167; 167
bắn bi,3,W00186N.mp4; W00186T.mp4; W00186B.mp4,128; 128; 140
bắn cung tên,1,D0218.mp4,235
bắn súng,1,W00187.mp4,515
bắp ngô,3,W00196B.mp4; W00196T.mp4; W00196N.mp4,103; 101; 101
bắt,1,W00197.mp4,130
bắt buộc,1,W01008.mp4,56
bắt giữ,1,W00199.mp4,164
bắt nạt,1,W00200.mp4,133
bắt tay,1,W00202.mp4,252
bắt đền,3,W00198.mp4; W00198N.mp4; W00198B.mp4,131; 112; 149
bằng,1,W00194.mp4,142
bằng phẳng,1,W00195.mp4,148
bẻ ngô,3,W00216T.mp4; W00216B.mp4; W00216N.mp4,125; 132; 125
bế em,1,W00232.mp4,149
bến phà,1,W00242.mp4,170
bến tàu,1,W00243.mp4,163
bến xe,1,W00245.mp4,162
bể bơi,1,W00230.mp4,132
bể cá,1,W00231.mp4,279
bệ hạ,2,W00234B.mp4; W00234T.mp4,149; 149
bệ xí,1,W00235.mp4,166
bệnh nhân,1,W00248.mp4,310
bệnh phong/cùi,1,D0366.mp4,112
bệnh thủy đậu,1,W00247.mp4,128
bệnh tật,1,W00249.mp4,120
bệnh Đao - Down,1,D03671.mp4,75
bị động,1,W00253.mp4,122
bịa đặt,1,W00256.mp4,160
bọc sách,1,W00301.mp4,153
bọt biển,1,W00313.mp4,115
bọt xà phòng,1,W00314.mp4,152
bỏ hoang,1,W00292.mp4,277
bỏ phiếu,1,W00293.mp4,150
bỏ qua,1,W00294.mp4,144
bỏ rơi,1,W00295.mp4,178
bỏng,1,W00305.mp4,125
bỏng ngô,1,W00306.mp4,150
bố,1,W00325.mp4,97
bố dượng,3,W00326B.mp4; W00326T.mp4; W00326N.mp4,112; 71; 71
bố mẹ,1,W00327.mp4,118
bố trí,1,W00320.mp4,153
bốc hơi,1,W00330.mp4,114
bốc thăm,1,W00331.mp4,110
bốc vác,1,W00322.mp4,125
bối rối,1,D0069.mp4,117
bốn là,1,D0149.mp4,80
bốt cảnh sát,3,W00337B.mp4; W00337T.mp4; W00337N.mp4,148; 193; 193
bốt điện,3,W00338B.mp4; W00338N.mp4; W00338T.mp4,133; 159; 159
bồ kết,1,W00315.mp4,145
bồi bàn,1,W00332.mp4,125
bồi thường,1,W00333.mp4,125
bồn hoa,1,W00334.mp4,141
bồn rửa bát,1,W00335.mp4,130
bổ ngữ,1,W00317.mp4,112
bổ trợ,1,W00318.mp4,156
bổ ích,1,W00316.mp4,156
bộ sách,1,W00329.mp4,125
bộ truyện,1,W00321.mp4,116
bộ đội,3,W00328N.mp4; W00328T.mp4; W00328B.mp4,135; 115; 145
bột giặt,1,W00340.mp4,132
bột màu,3,W00341T.mp4; W00341N.mp4; W00341B.mp4,130; 130; 123
bột ngọt,2,W00342N.mp4; W00342T.mp4,122; 122
bớt,1,W00353.mp4,120
bớt đi,1,W00354.mp4,101
bờ biển,1,W00344.mp4,144
bờ ruộng,1,W00346.mp4,160
bờ rào,1,W00345.mp4,123
bờm tóc,1,W00352.mp4,71
bụi phấn,3,W00359N.mp4; W00359T.mp4; W00359B.mp4,121; 119; 119
bụi tre,1,W01827.mp4,264
bụi đời,1,W00358.mp4,156
bụng,1,W00362.mp4,135
bức tranh,3,W00386N.mp4; W00386T.mp4; W00386B.mp4,150; 178; 178
bức tường,1,W00387.mp4,165
bữa cơm,1,W00385.mp4,148
bực mình,1,D0036.mp4,140
c,1,D0493.mp4,82
ca,1,W00395.mp4,138
ca nô,1,W00396.mp4,136
cao (người),1,W00415.mp4,148
cao (nhà),1,W004152.mp4,155
cao (núi),1,W004153.mp4,150
cao (vật),1,W004151.mp4,131
cao nguyên,1,W00419.mp4,147
cao quý,1,W00420.mp4,148
cao thấp,1,W00422.mp4,309
cao tầng,1,W00421.mp4,159
cao tốc,1,W00423.mp4,130
cao độ,1,W00418.mp4,151
cau có,1,W00425.mp4,118
cha,1,W00481.mp4,112
cha mẹ,1,W00482.mp4,115
chai,1,W00485.mp4,79
chai nước,1,W00486.mp4,100
chanh muối,1,D0402.mp4,110
chanh nóng,1,D0401.mp4,114
chanh đá,1,D0400.mp4,112
che chở,1,W00546.mp4,78
che phủ,1,W00547.mp4,127
chen lấn,1,W00551.mp4,113
chi hội,1,W00561.mp4,95
chi tiết,1,W00563.mp4,83
chia,3,W00575B.mp4; W00575N.mp4; W00575T.mp4,82; 92; 92
chia ba,3,D0250B.mp4; D0250N.mp4; D0250T.mp4,92; 104; 92
chia cắt,1,W00577.mp4,93
chia hết,1,W00579.mp4,110
chia phần,1,W00580.mp4,101
chia rẽ,1,D0335.mp4,251
chia sẻ,1,W00581.mp4,103
chia tay,1,W00582.mp4,134
chia đôi,3,D0249N.mp4; D0249B.mp4; D0249T.mp4,100; 114; 114
chia đều,1,W00578.mp4,122
chim bồ câu,1,W00602.mp4,132
chim chuyền cành,1,W00693.mp4,121
chim chào mào,1,W00603.mp4,134
chim chích chòe,1,W00604.mp4,107
chim chóc,1,W00605.mp4,100
chim gõ kiến,1,W00608.mp4,133
chim phượng hoàng,1,W00609.mp4,126
chim sâu,1,W00610.mp4,106
chim sơn ca,1,W00612.mp4,89
chim sẻ,1,W00611.mp4,93
chim yến,1,W00614.mp4,137
chim đại bàng,1,W00606.mp4,120
chiên/rán (1)(2),1,D0373.mp4,242
chiêng,1,W00593.mp4,144
chiếc gối,3,W00584N.mp4; W00584B.mp4; W00584T.mp4,105; 115; 128
chiếm đoạt,1,W00585.mp4,97
chiến khu,1,W00588.mp4,97
chiến thắng,1,W00591.mp4,97
chiếu,3,W00598.mp4; W00598B.mp4; W00598T.mp4,91; 113; 113
chiếu phim,1,W00599.mp4,97
chiều cao,1,W00594.mp4,142
chiều dài,1,W00595.mp4,104
chiều rộng,1,W00596.mp4,113
chiều tối,1,W00597.mp4,102
chong chóng,1,W00630.mp4,107
chu vi,1,W00641.mp4,124
chui,1,W00669.mp4,89
chum,1,W00672.mp4,79
chung kết,1,W00678.mp4,89
chung tay,1,D0411.mp4,89
chuyên biệt,1,W00689.mp4,64
chuyên cần,1,W00690.mp4,133
chuyên gia,3,W00691B.mp4; W00691N.mp4; W00691T.mp4,107; 92; 92
chuyền bóng,1,W00692.mp4,87
chuyển giao,1,W00700.mp4,119
chuyển hướng,1,W00701.mp4,107
chuyển vế,1,W00702.mp4,91
chuyển đồ,1,W00694.mp4,76
chuyển đổi số đo,1,W00696.mp4,131
chuyển động,1,W00697.mp4,73
chuyển động quay,1,W00699.mp4,201
chuyển động đều,1,W00698.mp4,107
chuyện lớn,1,D0238.mp4,133
chuyện nhỏ,1,D0237.mp4,94
chuyện trò,1,W00703.mp4,83
chuông,1,W00683.mp4,87
chuông nhà,1,W00684.mp4,89
chuẩn bị,3,W00662B.mp4; W00662T.mp4; W00662N.mp4,84; 76; 76
chuồng,1,W00685.mp4,127
chuỗi hạt,1,W00679.mp4,154
chuột quang,1,W00686.mp4,92
chàng trai,1,W00488.mp4,91
chào,1,W00489.mp4,116
chào cờ,1,W00490.mp4,92
chào mừng,1,W00492.mp4,81
chày,1,W00499.mp4,98
cháo sườn,1,D0090.mp4,137
chát,1,W00494.mp4,76
cháu gái,3,W00495N.mp4; W00495B.mp4; W00495T.mp4,79; 105; 79
cháu họ,3,D0154B.mp4; D0154N.mp4; D0154T.mp4,122; 124; 146
cháu ngoại,3,W00496T.mp4; W00496B.mp4; W00496N.mp4,98; 189; 109
cháu nội,3,W00497B.mp4; W00497T.mp4; W00497N.mp4,113; 102; 110
cháu trai,2,W00498N.mp4; W00498B.mp4,83; 97
cháy rừng,1,W00500.mp4,88
châm chọc,1,W00515.mp4,130
châm cứu,3,W00516B.mp4; W00516N.mp4; W00516T.mp4,111; 94; 145
chân dung,1,W00522.mp4,67
chân tay,1,W00525.mp4,116
chân đất,1,W00523.mp4,109
chè đỗ đỏ,1,W00548.mp4,95
chèn ép,1,W00552.mp4,121
chèo thuyền,1,W00554.mp4,154
chém,1,W00550.mp4,106
chén,1,W00553.mp4,127
chép bài,1,W00555.mp4,90
chìa khóa,1,W00583.mp4,108
chín,1,W00616.mp4,117
chính phủ,2,W00617T.mp4; W00617B.mp4,97; 89
chính quyền,1,W00618.mp4,106
chính tả,1,W00619.mp4,83
chính xác,3,W00620B.mp4; W00620N.mp4; W00620T.mp4,85; 92; 92
chó cắn,1,D0229.mp4,94
chó sói,1,W00623.mp4,91
chó xù,1,W00624.mp4,119
chõ xôi,1,D0472.mp4,119
chùa,3,W00655N.mp4; W00655B.mp4; W00655T.mp4,118; 90; 152
chùa Hương,1,W00657.mp4,146
chùa Một Cột,1,W00658.mp4,99
chùa Yên Tử,1,D0471.mp4,149
chùm hoa,1,W00673.mp4,79
chùm khế,1,W00674.mp4,89
chùm nho,1,W00676.mp4,95
chùm vải,1,W00677.mp4,91
chú ( người),1,W00506.mp4,80
chú hề,1,W00650.mp4,94
chú rể,1,W00651.mp4,99
chú tễu,1,W00652.mp4,145
chú ý,1,W00654.mp4,76
chúc mừng,3,W00663B.mp4; W00663T.mp4; W00663N.mp4,77; 84; 84
chúc thọ,3,W00665N.mp4; W00665T.mp4; W00665B.mp4,111; 111; 108
chúc tết,3,W00664T.mp4; W00664B.mp4; W00664N.mp4,118; 96; 134
chúi đầu,1,W00671.mp4,86
chúng tôi (2 người) (đại từ),1,D0130.mp4,106
chúng tôi (3 người) (đại từ),1,D0131.mp4,121
chúng tôi (4 người) (đại từ),1,D0132.mp4,89
chúng tôi (5 người) (đại từ),1,D0133.mp4,99
chúng tôi (đại từ),1,D0134.mp4,128
chăm học,1,W00507.mp4,102
chăm sóc sức khỏe,3,W00508B.mp4; W00508N.mp4; W00508T.mp4,143; 131; 189
chăn (cái chăn),3,W00509B.mp4; W00509N.mp4; W00509T.mp4,116; 117; 117
chăn nuôi,3,W00510B.mp4; W00510T.mp4; W00510N.mp4,101; 118; 125
chơi,2,W00639T.mp4; W00639B.mp4,76; 76
chương trình,1,W00713.mp4,76
chạy,1,W00501.mp4,81
chạy (động vật),1,D0175.mp4,84
chạy bàn,1,W00502.mp4,143
chạy chậm,1,W00503.mp4,93
chạy nhanh,1,W00504.mp4,60
chả cá,3,W00484T.mp4; W00484B.mp4; W00484N.mp4,153; 153; 141
chảo,3,W00493B.mp4; W00493N.mp4; W00493T.mp4,299; 255; 255
chấm dứt,1,W00519.mp4,106
chấm điểm,1,W00520.mp4,80
chất dẻo,1,W00529.mp4,79
chất hữu cơ,1,W00534.mp4,139
chất lượng,1,W00537.mp4,81
chất lỏng,1,W00536.mp4,114
chất rắn,1,W00538.mp4,94
chất thải,1,W00539.mp4,106
chất đốt,1,W00530.mp4,105
chất độc,1,W00531.mp4,78
chất độc màu da cam,1,W00533.mp4,80
chậm chạp,1,D0178.mp4,104
chật chội,1,W00540.mp4,92
chậu,1,W00545.mp4,91
chặn,1,W00512.mp4,135
chặt,3,W00513B.mp4; W00513N.mp4; W00513T.mp4,109; 92; 92
chặt chẽ,1,W00514.mp4,94
