STT,VIDEO,TEXT
110,D0056B.mp4,ngày gia đình Việt Nam 28/6
111,D0061.mp4,đồng bằng sông Cửu Long
112,D0062.mp4,đồng bằng sông Hồng
113,D0059.mp4,con cá sấu
114,D0064.mp4,buồn thảm
115,D0065B.mp4,mách
116,D0060T.mp4,nhầm
117,D0063.mp4,đồng bằng duyên hải miền Trung
118,D0066B.mp4,vô duyên
119,D0066N.mp4,vô duyên
120,D0065N.mp4,mách
121,D0067.mp4,ti hí mắt
122,D0068.mp4,kịp thời
123,D0066T.mp4,vô duyên
124,D0070.mp4,hú vía
125,D0071.mp4,suỵt
126,D0065T.mp4,mách
127,D0072N.mp4,suýt
128,D0072B.mp4,suýt
129,D0073.mp4,cá voi
130,D0072T.mp4,suýt
131,D0074.mp4,cá kiếm
132,D0075.mp4,đuôi cá
133,D0077B.mp4,bít tết (bò)
134,D0076.mp4,đuôi chuột
135,D0077T.mp4,bít tết (bò)
136,D0069.mp4,bối rối
137,D0077N.mp4,bít tết (bò)
138,D0080B.mp4,mỳ tôm
139,D0080N.mp4,mỳ tôm
140,D0080T.mp4,mỳ tôm
141,D0081B.mp4,mỳ vằn thắn
142,D0079.mp4,súp lơ
143,D0082N.mp4,mỳ ý
144,D0082T.mp4,mỳ ý
145,D0083.mp4,bún mắm
146,D0084.mp4,bún chả
147,D0085.mp4,bún ngan
148,D0086.mp4,bún ốc
149,D0088.mp4,xôi gấc
150,D0089.mp4,xôi gà
151,D0087B.mp4,bún đậu
152,D0090.mp4,cháo sườn
153,D0093.mp4,đạo diễn
154,D0094.mp4,thí nghiệm
155,D0095.mp4,cắm trại
156,D0096.mp4,khả năng
157,D0097.mp4,kỹ năng
158,D0091.mp4,cơm rang
159,D0098.mp4,có … không?
160,D0099.mp4,cung cấp
161,D0100.mp4,khờ dại
162,D0102.mp4,may mắn
163,D0101.mp4,cực khổ
164,D0103B.mp4,từ chối
165,D0092.mp4,nhấn mạnh
166,D0103T.mp4,từ chối
167,D0105.mp4,xoa đầu
168,D0103N.mp4,từ chối
169,D0108B.mp4,thiệp sinh nhật
170,D0107.mp4,rực rỡ
171,D0108T.mp4,thiệp sinh nhật
172,D0104.mp4,nấu nướng
173,D0109N.mp4,không quen
174,D0109T.mp4,không quen
175,D0108N.mp4,thiệp sinh nhật
176,D0109B.mp4,không quen
177,D0111B.mp4,tương ớt
178,D0111T.mp4,tương ớt
179,D0111N.mp4,tương ớt
180,D0112.mp4,không có
181,D0113.mp4,không có chi
182,D0110.mp4,bánh tráng
183,D0114.mp4,dân chủ
184,D0115.mp4,xử lý
185,D0117.mp4,tinh mắt
186,D0119B.mp4,đúng không?
187,D0118.mp4,cũng vậy/cũng thế
188,D0119T.mp4,đúng không?
189,D0120B.mp4,phải không?
190,D0120N.mp4,phải không?
191,D0120T.mp4,phải không?
192,D0121.mp4,còn bạn?
193,D0122B.mp4,cần không?
194,D0116.mp4,đất ruộng
195,D0122T.mp4,cần không?
196,D0119N.mp4,đúng không?
197,D0123N.mp4,nên không?
198,D0123T.mp4,nên không?
199,D0122N.mp4,cần không?
200,D0124.mp4,kia
201,D0126.mp4,sợ không?
202,D0127.mp4,căm thù
203,D0128B.mp4,đẹp không? (người)
204,D0128N.mp4,đẹp không? (người)
205,D0128T.mp4,đẹp không? (người)
206,D0129B.mp4,không đẹp
207,D0123B.mp4,nên không?
208,D0125.mp4,nóng tính
209,D0130.mp4,chúng tôi (2 người) (đại từ)
210,D0131.mp4,chúng tôi (3 người) (đại từ)
211,D0132.mp4,chúng tôi (4 người) (đại từ)
212,D0133.mp4,chúng tôi (5 người) (đại từ)
213,D0134.mp4,chúng tôi (đại từ)
214,D0135.mp4,các bạn (2 người)
215,D0136.mp4,họ (2 người) (đại từ)
216,D0129N.mp4,không đẹp
217,D0137.mp4,họ (đại từ)
218,D0138.mp4,bạn yêu tôi
219,D0139.mp4,tôi yêu bạn ấy
220,D0129T.mp4,không đẹp
221,D0140.mp4,bạn ấy yêu tôi
222,D0141.mp4,bạn yêu bạn ấy
223,D0143B.mp4,"anh hai, anh cả"
224,D0142.mp4,bạn ấy yêu bạn
225,D0143N.mp4,"anh hai, anh cả"
226,D0143T.mp4,"anh hai, anh cả"
227,D0144B.mp4,"chị hai, chị cả"
228,D0144T.mp4,"chị hai, chị cả"
229,D0145.mp4,quả bầu hồ lô
230,D0146.mp4,một là
231,D0147.mp4,hai là
232,D0148.mp4,ba là
233,D0144N.mp4,"chị hai, chị cả"
234,D0149.mp4,bốn là
235,D0151B.mp4,ông bà
236,D0151T.mp4,ông bà
237,D0150.mp4,năm là
238,D0152N.mp4,chị họ
239,D0152T.mp4,chị họ
240,D0153B.mp4,em họ
241,D0151N.mp4,ông bà
242,D0153T.mp4,em họ
243,D0152B.mp4,chị họ
244,D0154B.mp4,cháu họ
245,D0153N.mp4,em họ
246,D0154N.mp4,cháu họ
247,D0155B.mp4,sống sót
248,D0154T.mp4,cháu họ
249,D0155N.mp4,sống sót
250,D0155T.mp4,sống sót
251,D0156.mp4,thường xuyên
252,D0156B.mp4,thường xuyên
253,D0156N.mp4,thường xuyên
254,D0156T.mp4,thường xuyên
255,D0157B.mp4,đi dạo
256,D0157N.mp4,đi dạo
257,D0159B.mp4,về 2 (Miền Bắc)
258,D0159T.mp4,về 2 (Miền Bắc)
259,D0157T.mp4,đi dạo
260,D0161.mp4,về 4 (từ nơi khác về)
261,D0162.mp4,về 5 (về nhà)
262,D0160.mp4,về 3 (đi về)
263,D0158N.mp4,về (Sài Gòn)
264,D0163T.mp4,hẹn
265,D0164.mp4,quyến luyến
266,D0165B.mp4,hứa
267,D0165N.mp4,hứa
268,D0163B.mp4,hẹn
269,D0165T.mp4,hứa
270,D0166.mp4,cùng / với (giới từ)
271,D0163N.mp4,hẹn
272,D0167B.mp4,lâu
273,D0168B.mp4,vẫn
274,D0168T.mp4,vẫn
275,D0168N.mp4,vẫn
276,D0169B.mp4,mỗi ngày
277,D0169N.mp4,mỗi ngày
278,D0169T.mp4,mỗi ngày
279,D0170B.mp4,hàng ngày
280,D0170T.mp4,hàng ngày
281,D0171.mp4,ăn vú sữa (bằng thìa)
282,D0173.mp4,hôi
283,D0174.mp4,trông nhà
284,D0175.mp4,chạy (động vật)
285,D0170N.mp4,hàng ngày
286,D0177.mp4,bay nhanh (máy bay)
287,D0172.mp4,ăn vú sữa
288,D0176.mp4,xe container
289,D0180.mp4,5 > 3 (Toán học)
290,D0178.mp4,chậm chạp
291,D0181.mp4,2 < 6 (Toán học)
292,D0179.mp4,ngừng lại
293,D0182N.mp4,cung điện
294,D0182T.mp4,cung điện
295,D0184.mp4,một ít/ một chút
296,D0185.mp4,kẹt xe/tắc đường
297,D0182B.mp4,cung điện
298,D0186.mp4,suy ra (Toán học)
299,D0188B.mp4,hoặc
300,D0188N.mp4,hoặc
301,D0188T.mp4,hoặc
302,D0189B.mp4,muốn không?
303,D0189N.mp4,muốn không?
304,D0183.mp4,dừng lại
305,D0190B.mp4,không muốn
306,D0187.mp4,thì thầm
307,D0190N.mp4,không muốn
308,D0190T.mp4,không muốn
309,D0192B.mp4,xem
310,D0191.mp4,sa mạc
311,D0192T.mp4,xem
312,D0193.mp4,núi cao
313,D0194.mp4,núi thấp
314,D0189T.mp4,muốn không?
315,D0195N.mp4,đẹp không?
316,D0195T.mp4,đẹp không?
317,D0196.mp4,xem đã
318,D0197.mp4,mồ hôi nhễ nhại
319,D0195B.mp4,đẹp không?
320,D0198.mp4,không ngon
321,D0200.mp4,má hồng
322,D0201.mp4,ngập ngừng
323,D0202.mp4,nói ngập ngừng
324,D0203.mp4,Võ Thị Sáu
325,D0192N.mp4,xem
326,D0205.mp4,sụp đổ
327,D0204.mp4,mít tinh
328,D0206B.mp4,thiếu thốn
329,D0206N.mp4,thiếu thốn
330,D0206T.mp4,thiếu thốn
331,D0207.mp4,xuyên Việt
332,D0208.mp4,khổ công
333,D0209B.mp4,dám làm
334,D0209N.mp4,dám làm
335,D0209T.mp4,dám làm
336,D0210N.mp4,không dám
337,D0199.mp4,hài lòng
338,D0211.mp4,phiền hà
339,D0210T.mp4,không dám
340,D0210B.mp4,không dám
341,D0213B.mp4,ung thư
342,D0213N.mp4,ung thư
343,D0214B.mp4,phó hiệu trưởng
344,D0212.mp4,đèn ông sao
345,D0213T.mp4,ung thư
346,D0214T.mp4,phó hiệu trưởng
347,D0214N.mp4,phó hiệu trưởng
348,D0217.mp4,hữu nghị
349,D0218.mp4,bắn cung tên
350,D0219.mp4,mũi tên
351,D0216.mp4,vòng nguyệt quế
352,D0221.mp4,tận số
353,D0222.mp4,nứt nẻ (ruộng)
354,D0223B.mp4,Mã Lai (nước Ma-lai-xi-a)
355,D0223N.mp4,Mã Lai (nước Ma-lai-xi-a)
356,D0223T.mp4,Mã Lai (nước Ma-lai-xi-a)
357,D0220.mp4,cung tên
358,D0225.mp4,Long Vương
359,D0215.mp4,Ô-lim-píc
360,D0227.mp4,phân vân
361,D0228.mp4,lau miệng
362,D0224.mp4,số La Mã (Toán học)
363,D0230.mp4,mèo cào
364,D0231.mp4,quan hệ từ
365,D0232.mp4,yêu nước Việt Nam
366,D0226.mp4,đàng hoàng
367,D0229.mp4,chó cắn
368,D0235.mp4,vỗ về
369,D0234.mp4,đi tuần
370,D0237.mp4,chuyện nhỏ
371,D0236.mp4,hốt hoảng
372,D0239.mp4,cái gùi
373,D0233.mp4,quan (chức vụ)
374,D0241.mp4,bất khuất
375,D0240.mp4,hùng vĩ
376,D0242N.mp4,nhưng
377,D0242T.mp4,nhưng
378,D0243B.mp4,hay là (hoặc là)
379,D0238.mp4,chuyện lớn
380,D0242B.mp4,nhưng
381,D0244.mp4,Thăng Long
382,D0245.mp4,dãy núi Hoàng Liên Sơn
383,D0246.mp4,quanh năm
384,D0247.mp4,gấp đôi
385,D0248.mp4,gấp ba
386,D0249B.mp4,chia đôi
387,D0249N.mp4,chia đôi
388,D0249T.mp4,chia đôi
389,D0243T.mp4,hay là (hoặc là)
390,D0250B.mp4,chia ba
391,D0250N.mp4,chia ba
392,D0251.mp4,"đi lạc (đường, rừng..)"
393,D0252.mp4,mất (chết) (chỉ người)
394,D0253.mp4,đại sứ
395,D0243N.mp4,hay là (hoặc là)
396,D0255.mp4,giám sát
397,D0256.mp4,quan sát
398,D0250T.mp4,chia ba
399,D0258.mp4,xảy ra
400,D0259.mp4,dự án
401,D0260.mp4,đầu tư
402,D0261.mp4,năn nỉ
403,D0262.mp4,háo hức
404,D0257.mp4,ăn vụng
405,D0265.mp4,nhõng nhẽo
406,D0264.mp4,tải về
407,D0266.mp4,hên/gặp may
408,D0267B.mp4,đen đủi
409,D0269.mp4,long lanh (mắt)
410,D0270B.mp4,lạnh lùng
411,D0270N.mp4,lạnh lùng
412,D0270T.mp4,lạnh lùng
413,D0271B.mp4,dỗi
414,D0271N.mp4,dỗi
415,D0263.mp4,rắc rối
416,D0272B.mp4,liếc nhìn
417,D0271T.mp4,dỗi
418,D0272N.mp4,liếc nhìn
419,D0273.mp4,nhổ tóc
420,D0274.mp4,nhổ râu
421,D0268N.mp4,xui xẻo
422,D0276.mp4,cắt lông mũi
423,D0277.mp4,nhổ răng
424,D0278.mp4,răng hô
425,D0279.mp4,răng khểnh
426,D0280.mp4,kháu khỉnh
427,D0272T.mp4,liếc nhìn
428,D0281.mp4,mọc tóc
429,D0283.mp4,mọc ria mép
430,D0275.mp4,nhổ lông mày
431,D0285.mp4,Cố đô Huế
432,D0286.mp4,cách ly
433,D0287.mp4,giãn cách xã hội
434,D0288.mp4,tương lai
435,D0289.mp4,ria mép
436,D0290.mp4,trong khoảng
437,D0282.mp4,mọc râu
438,D0292.mp4,nhảy bao bố
439,D0284.mp4,Cô vy (covid)
440,D0291.mp4,trốn tìm
441,D0295.mp4,hội thoại
442,D0296.mp4,lý do
443,D0297.mp4,lớn hơn 1 (Toán học)
444,D0298.mp4,lớn hơn 2 (Toán học)
445,D0299.mp4,2 < 5 (Toán học)
446,D0293.mp4,nhảy lò cò
447,D0300.mp4,tỉnh táo
448,D0294.mp4,kéo co
449,D0303.mp4,đất nước bị chia cắt (Việt Nam)
450,D0304.mp4,thống nhất đất nước
451,D0305.mp4,khoáng sản
452,D0301.mp4,nhộn nhịp (đông người)
453,D0306.mp4,thương mại
454,D0307N.mp4,công nghiệp
455,D0307T.mp4,công nghiệp
456,D0308.mp4,dân tộc Chăm
457,D0310.mp4,dân tộc Khơ me
458,D0311.mp4,dân tộc Thái
459,D0312.mp4,dân tộc Mông
460,D0313.mp4,nhà rông
461,D0307B.mp4,công nghiệp
462,D0315.mp4,tiến bộ
463,D0316.mp4,Lượm
464,D0317.mp4,cứu sống
465,D0318.mp4,máy xúc
466,D0319.mp4,cảng Hải Phòng
467,D0309.mp4,dân tộc Mường
468,D0321.mp4,kim cương
469,D0322.mp4,phân biệt
470,D0314.mp4,lãng phí
471,D0323.mp4,không bình đẳng
472,D0320.mp4,cảng Sài Gòn
473,D0324.mp4,đùm bọc
474,D0325.mp4,khởi nghiệp
475,D0326N.mp4,vải lụa
476,D0327.mp4,lượt đi
477,D0326B.mp4,vải lụa
478,D0329.mp4,rau diếp cá
479,D0330.mp4,rau ngò/rau mùi
480,D0331.mp4,thao thức
481,D0332.mp4,thâm quầng mắt
482,D0333.mp4,tự hào
483,D0334.mp4,quyên góp
484,D0335.mp4,chia rẽ
485,D0326T.mp4,vải lụa
486,D0336.mp4,tự trọng
487,D0338.mp4,ăn bám
488,D0340.mp4,thịnh vượng
489,D0337.mp4,gian dối
490,D0342B.mp4,ham chơi
491,D0339.mp4,tuyên truyền
492,D0342T.mp4,ham chơi
493,D0343.mp4,đánh cầu lông
494,D0344.mp4,cánh buồm
495,D0345.mp4,cầu Thê Húc (Hồ Gươm)
496,D0341.mp4,lấm lem
497,D0346N.mp4,da trắng
498,D0346B.mp4,da trắng
499,D0347B.mp4,da ngăm (nước da ngăm đen)
500,D0347N.mp4,da ngăm (nước da ngăm đen)
501,D0347T.mp4,da ngăm (nước da ngăm đen)
502,D0342N.mp4,ham chơi
503,D0349.mp4,năm tới
504,D0350.mp4,Hoãn
505,D0346T.mp4,da trắng
506,D0351.mp4,huỷ
507,D0352.mp4,phụ thuộc
508,D0354.mp4,tẩy chay
509,D0355.mp4,đau mắt
510,D0353.mp4,thuộc địa
511,D0357.mp4,đau tay
512,D0358.mp4,đau chân
513,D0359.mp4,đau tai
514,D0361.mp4,phẫu thuật chân
515,D0362.mp4,phẫu thuật mắt
516,D0363.mp4,phẫu thuật mũi
517,D0356.mp4,đau bụng
518,D0364.mp4,phẫu thuật cổ
519,D0365.mp4,phẫu thuật bụng
520,D0360.mp4,phẫu thuật tay
521,D03671.mp4,bệnh Đao - Down
522,D0369.mp4,mệt mỏi
523,D0370.mp4,mệt không?
524,D0366.mp4,bệnh phong/cùi
525,D0372.mp4,cả ngày
526,D0373.mp4,chiên/rán (1)(2)
527,D0374.mp4,nướng
528,D0371.mp4,đói không?
529,D0376.mp4,xào
530,D0377.mp4,lẩu
531,D0378.mp4,gỏi/nộm
532,D0379.mp4,nhà kho
533,D0380.mp4,hấp
534,D0381.mp4,thối
535,D0375.mp4,luộc
536,D0384.mp4,ngán
537,D0382.mp4,thiu
538,D0383.mp4,nguội
539,D0387.mp4,con hàu
540,D0385.mp4,tôm hùm
541,D0389.mp4,vịt quay
542,D0386.mp4,cua đồng
543,D0391.mp4,bánh hamburger
544,D0390.mp4,gà nướng lu
545,D0392.mp4,bánh sandwich
546,D0394.mp4,miến
547,D0395.mp4,"nước ép (cam, cà chua,..)"
548,D0388.mp4,hải sản
549,D0396B.mp4,nước ép trái cây
550,D0396N.mp4,nước ép trái cây
551,D0396T.mp4,nước ép trái cây
552,D0393.mp4,bánh canh
553,D0397.mp4,"sinh tố (bơ, dâu,..)"
554,D0400.mp4,chanh đá
555,D0401.mp4,chanh nóng
556,D0402.mp4,chanh muối
557,D0399.mp4,mía
558,D0403.mp4,trà đá
559,D0404.mp4,trà nóng
560,D0405.mp4,trà sữa
561,D0406.mp4,Socola
562,D0407.mp4,Cocacola
563,D0408.mp4,7up
564,D0409.mp4,một tiết học
565,D0410B.mp4,một tiếng
566,D0410N.mp4,một tiếng
567,D0410T.mp4,một tiếng
568,D0411.mp4,chung tay
569,D0413.mp4,rửa mặt
570,D0412.mp4,rửa chân
571,D0414.mp4,đánh răng
572,D0416B.mp4,tuần này
573,D0416N.mp4,tuần này
574,D0416T.mp4,tuần này
575,D0398.mp4,vắt chanh
576,D0417N.mp4,tuần sau
577,D0417B.mp4,tuần sau
578,D0417T.mp4,tuần sau
579,D0418T.mp4,tuần trước
580,D0418N.mp4,tuần trước
581,D0420.mp4,cuối tháng
582,D0421.mp4,cuối năm
583,D0422.mp4,mục tiêu
584,D0423B.mp4,sinh đôi
585,D0423N.mp4,sinh đôi
586,D0424.mp4,đôi/cặp
587,D0419.mp4,cuối tuần
588,D0426.mp4,mô tả
589,D0427.mp4,mũm mĩm
590,D0425.mp4,Đảng
591,D0429B.mp4,tóc ngắn
592,D0428.mp4,tóc dài
593,D0429N.mp4,tóc ngắn
594,D0429T.mp4,tóc ngắn
595,D0423T.mp4,sinh đôi
596,D0430N.mp4,tổng kết/bế giảng
597,D0430B.mp4,tổng kết/bế giảng
598,D0431.mp4,lốc xoáy
599,D0430T.mp4,tổng kết/bế giảng
600,D0432N.mp4,tay chân sạch sẽ
601,D0432T.mp4,tay chân sạch sẽ
602,D0433.mp4,nhắm mắt
603,D0435.mp4,cây nến
604,D0434.mp4,sờ
605,D0437B.mp4,đùa
606,D0436.mp4,dịu dàng
607,D0432B.mp4,tay chân sạch sẽ
608,D0437T.mp4,đùa
609,D0437N.mp4,đùa
610,D0438.mp4,làm được
611,D0441.mp4,ăn vừa
612,D0442.mp4,ăn ít
613,D0439.mp4,dòng sông chảy
614,D0440.mp4,ăn đủ
615,D0445.mp4,trang điểm
616,D0443.mp4,đồ uống
617,D0447.mp4,cái vợt cá
618,D0446.mp4,đau mắt đỏ
619,D0444.mp4,đồ ăn
620,D0450.mp4,thắp đèn
621,D0448.mp4,vợt cầu lông
622,D0449.mp4,con vượn
623,D0452N.mp4,họp nhóm
624,D0452T.mp4,họp nhóm
625,D0453.mp4,nhút nhát
626,D0455.mp4,luộc rau
627,D0456.mp4,muối
628,D0457.mp4,nước mắm
629,D0458.mp4,thoăn thoắt
630,D0459.mp4,nghênh nghênh (đầu)
631,D0460.mp4,đua đòi
632,D0451.mp4,góp tiền
633,D0461.mp4,bình sữa (em bé)
634,D0462.mp4,đòi
635,D0463.mp4,đòi hỏi
636,D0464N.mp4,trẻ con/con nít
637,D0464B.mp4,trẻ con/con nít
638,D0452B.mp4,họp nhóm
639,D0466.mp4,cạnh tranh
640,D0467.mp4,hoa hậu
641,D0468.mp4,cái neo
642,D0464T.mp4,trẻ con/con nít
643,D0465.mp4,duy nhất
644,D0470N.mp4,nhà văn hóa
645,D0469.mp4,phóng viên
646,D0471.mp4,chùa Yên Tử
647,D0470B.mp4,nhà văn hóa
648,D0473.mp4,cây cọ
649,D0474.mp4,khu vực cách ly
650,D0475.mp4,phong toả
651,D0477.mp4,thung lũng
652,D0472.mp4,chõ xôi
653,D0478.mp4,địa hình
654,D0480.mp4,Thánh Gióng
655,D0481.mp4,hoa giấy
656,D0482.mp4,hoa dâm bụt
657,D0483.mp4,kết luận
658,D0484.mp4,internet
659,D0486.mp4,đi vệ sinh
660,D0479.mp4,Kim Đồng
661,D0489.mp4,a
662,D0490B.mp4,ă
663,D0488.mp4,hoa mai
664,D0490T.mp4,ă
665,D0485.mp4,nhà vệ sinh
666,D0490N.mp4,ă
667,D0491N.mp4,â
668,D0491T.mp4,â
669,D0492.mp4,b
670,D0493.mp4,c
671,D0494.mp4,d
672,D0495.mp4,đ
673,D0497B.mp4,ê
674,D0497N.mp4,ê
675,D0491B.mp4,â
676,D0498B.mp4,g
677,D0498N.mp4,g
678,D0497T.mp4,ê
679,D0500N.mp4,h
680,D0500T.mp4,h
681,D0496.mp4,e
682,D0502.mp4,k
683,D0500B.mp4,h
684,D0504.mp4,m
685,D0505.mp4,n
686,D0506.mp4,o
687,D0501.mp4,i
688,D0503.mp4,l
689,D0507T.mp4,ô
690,D0508N.mp4,ơ
691,D0507N.mp4,ô
692,D0509N.mp4,p
693,D0509T.mp4,p
694,D0510.mp4,q
695,D0511.mp4,r
696,D0512.mp4,s
697,D0509B.mp4,p
698,D0513N.mp4,t
699,D0513T.mp4,t
700,D0514.mp4,u
701,D0515N.mp4,ư
702,D0517B.mp4,x
703,D0517N.mp4,x
704,D0517T.mp4,x
705,D0518N.mp4,y
706,D0516.mp4,v
707,D0521.mp4,f
708,D0522.mp4,j
709,D0523.mp4,w
710,D0513B.mp4,t
711,D0519.mp4,z
712,D0524T.mp4,dấu huyền
713,D0525B.mp4,dấu sắc
714,D0524B.mp4,dấu huyền
715,D0524N.mp4,dấu huyền
716,D0525T.mp4,dấu sắc
717,D0525N.mp4,dấu sắc
718,D0526B.mp4,dấu hỏi
719,D0526T.mp4,dấu hỏi
720,D0527B.mp4,dấu ngã
721,D0527N.mp4,dấu ngã
722,D0527T.mp4,dấu ngã
723,D0526N.mp4,dấu hỏi
724,D0529.mp4,0 (số không)
725,D0531.mp4,2
726,D0530.mp4,1
727,D0532.mp4,3
728,D0534.mp4,5
729,D0535B.mp4,6
730,D0528.mp4,dấu nặng
731,D0535T.mp4,6
732,D0533.mp4,4
733,D0537.mp4,8
734,D0538.mp4,9
735,D0535N.mp4,6
736,D0540B.mp4,11
737,D0536.mp4,7
738,D0540T.mp4,11
739,D0539.mp4,10
740,D0541B.mp4,12
741,D0541T.mp4,12
742,D0541N.mp4,12
743,D0540N.mp4,11
744,D0542T.mp4,23
745,D0543N.mp4,33
746,D0543T.mp4,33
747,D0544.mp4,40
748,D0542N.mp4,23
749,D0546N.mp4,90
750,D0547.mp4,100
751,D0545.mp4,80
752,D0549B.mp4,5000 (năm nghìn)
753,D0542B.mp4,23
754,D0550B.mp4,10 000 (mười nghìn)
755,D0550N.mp4,10 000 (mười nghìn)
756,D0550T.mp4,10 000 (mười nghìn)
757,D0551B.mp4,1 000 000 (một triệu)
758,D0551N.mp4,1 000 000 (một triệu)
759,D0548N.mp4,1000 (một nghìn)
760,D0551T.mp4,1 000 000 (một triệu)
761,D0552N.mp4,1 000 000 000 (một tỉ)
762,D0552B.mp4,1 000 000 000 (một tỉ)
763,D0600.mp4,ăn cóc
764,W00000.mp4,ác
765,W00001.mp4,ác cảm
766,D0552T.mp4,1 000 000 000 (một tỉ)
767,W00004B.mp4,ai
768,W00004N.mp4,ai
769,W00004T.mp4,ai
770,W00006.mp4,An Giang
